subject,trial,rank,mean_pred_label,mean_raw_score,pct_high_attn,pct_low_attn,recommended
1,9,1,0.428,0.7068,0.0,57.2,True
1,3,2,0.594,0.707,1.4,42.0,True
1,10,3,0.609,0.7026,15.2,54.3,True
1,6,4,0.638,0.7009,8.0,44.2,False
1,11,5,0.667,0.6995,14.1,47.4,False
1,14,6,0.708,0.6956,15.0,44.2,False
1,12,7,0.775,0.6967,10.1,32.6,False
1,0,8,1.08,0.7019,27.5,19.6,False
1,7,9,1.159,0.6936,46.8,31.0,False
1,13,10,1.181,0.695,34.1,15.9,False
1,2,11,1.217,0.7022,30.8,9.2,False
1,4,12,1.287,0.7011,42.6,13.9,False
1,8,13,1.372,0.696,41.7,4.5,False
1,1,14,1.437,0.7012,62.2,18.5,False
1,5,15,1.658,0.6937,67.5,1.8,False
2,7,1,0.246,0.6948,0.8,76.2,True
2,14,2,0.325,0.6962,12.5,80.0,True
2,12,3,0.333,0.6984,0.0,66.7,True
2,10,4,0.362,0.6954,0.0,63.8,False
2,4,5,0.519,0.693,13.0,61.1,False
2,13,6,0.775,0.6951,18.8,41.3,False
2,2,7,0.967,0.6919,25.0,28.3,False
2,5,8,1.237,0.6872,27.2,3.5,False
2,11,9,1.333,0.686,48.9,15.6,False
2,9,10,1.362,0.6844,42.8,6.5,False
2,8,11,1.564,0.6819,70.5,14.1,False
2,0,12,1.594,0.6859,59.4,0.0,False
2,6,13,1.601,0.6875,62.3,2.2,False
2,1,14,1.637,0.6804,73.3,9.6,False
2,3,15,1.754,0.6826,75.4,0.0,False
3,6,1,0.457,0.6945,3.6,58.0,True
3,12,2,0.645,0.6961,12.3,47.8,True
3,14,3,0.658,0.6972,5.0,39.2,True
3,2,4,0.775,0.6947,37.5,60.0,False
3,1,5,0.852,0.6921,0.0,14.8,False
3,4,6,0.963,0.6923,21.3,25.0,False
3,11,7,0.993,0.6932,25.9,26.7,False
3,7,8,1.008,0.6937,23.8,23.0,False
3,10,9,1.014,0.6925,33.3,31.9,False
3,3,10,1.13,0.6885,29.0,15.9,False
3,13,11,1.246,0.6868,37.7,13.0,False
3,8,12,1.423,0.6854,56.4,14.1,False
3,9,13,1.486,0.687,49.3,0.7,False
3,0,14,1.601,0.6851,75.4,15.2,False
3,5,15,1.807,0.6836,80.7,0.0,False
4,7,1,0.103,0.697,2.4,92.1,True
4,1,2,0.222,0.6895,4.4,82.2,True
4,10,3,0.225,0.6916,0.0,77.5,True
